@relation ecoli2
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}

@data
0.74,0.49,0.48,0.5,0.42,0.54,0.36,positive
0.7,0.61,0.48,0.5,0.56,0.52,0.43,positive
0.66,0.86,0.48,0.5,0.34,0.41,0.36,positive
0.73,0.78,0.48,0.5,0.58,0.51,0.31,positive
0.65,0.57,0.48,0.5,0.47,0.47,0.51,positive
0.72,0.86,0.48,0.5,0.17,0.55,0.21,positive
0.67,0.7,0.48,0.5,0.46,0.45,0.33,positive
0.67,0.81,0.48,0.5,0.54,0.49,0.23,positive
0.67,0.61,0.48,0.5,0.51,0.37,0.38,positive
0.63,1.0,0.48,0.5,0.35,0.51,0.49,positive
0.57,0.59,0.48,0.5,0.39,0.47,0.33,positive
0.71,0.71,0.48,0.5,0.4,0.54,0.39,positive
0.66,0.74,0.48,0.5,0.31,0.38,0.43,positive
0.67,0.81,0.48,0.5,0.25,0.42,0.25,positive
0.64,0.72,0.48,0.5,0.49,0.42,0.19,positive
0.68,0.82,0.48,0.5,0.38,0.65,0.56,positive
0.32,0.39,0.48,0.5,0.53,0.28,0.38,positive
0.7,0.64,0.48,0.5,0.47,0.51,0.47,positive
0.63,0.57,0.48,0.5,0.49,0.7,0.2,positive
0.74,0.82,0.48,0.5,0.49,0.49,0.41,positive
0.63,0.86,0.48,0.5,0.39,0.47,0.34,positive
0.63,0.83,0.48,0.5,0.4,0.39,0.19,positive
0.63,0.71,0.48,0.5,0.6,0.4,0.39,positive
0.71,0.86,0.48,0.5,0.4,0.54,0.32,positive
0.68,0.78,0.48,0.5,0.43,0.44,0.42,positive
0.64,0.84,0.48,0.5,0.37,0.45,0.4,positive
0.74,0.47,0.48,0.5,0.5,0.57,0.42,positive
0.75,0.84,0.48,0.5,0.35,0.52,0.33,positive
0.63,0.65,0.48,0.5,0.39,0.44,0.35,positive
0.69,0.67,0.48,0.5,0.3,0.39,0.24,positive
0.7,0.71,0.48,0.5,0.42,0.84,0.85,positive
0.69,0.8,0.48,0.5,0.46,0.57,0.26,positive
0.64,0.66,0.48,0.5,0.41,0.39,0.2,positive
0.63,0.8,0.48,0.5,0.46,0.31,0.29,positive
0.66,0.71,0.48,0.5,0.41,0.5,0.35,positive
0.69,0.59,0.48,0.5,0.46,0.44,0.52,positive
0.68,0.67,0.48,0.5,0.49,0.4,0.34,positive
0.64,0.78,0.48,0.5,0.5,0.36,0.38,positive
