@relation poker-8-9_vs_6
@attribute S1 integer [1,4]
@attribute C1 integer [1,13]
@attribute S2 integer [1,4]
@attribute C2 integer [1,13]
@attribute S3 integer [1,4]
@attribute C3 integer [1,13]
@attribute S4 integer [1,4]
@attribute C4 integer [1,13]
@attribute S5 integer [1,4]
@attribute C5 integer [1,13]
@attribute Class {positive, negative}

@data
4.0,5.0,4.0,4.0,4.0,8.0,4.0,6.0,4.0,7.0,positive
4.0,12.0,4.0,1.0,4.0,13.0,4.0,11.0,4.0,10.0,positive
2.0,10.0,2.0,11.0,2.0,9.0,2.0,7.0,2.0,8.0,positive
3.0,4.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,2.0,positive
2.0,7.0,2.0,6.0,2.0,4.0,2.0,5.0,2.0,8.0,positive
2.0,10.0,2.0,11.0,2.0,13.0,2.0,1.0,2.0,12.0,positive
2.0,8.0,2.0,7.0,2.0,5.0,2.0,6.0,2.0,4.0,positive
4.0,11.0,4.0,7.0,4.0,9.0,4.0,10.0,4.0,8.0,positive
2.0,12.0,2.0,11.0,2.0,13.0,2.0,9.0,2.0,10.0,positive
1.0,8.0,1.0,7.0,1.0,11.0,1.0,10.0,1.0,9.0,positive
3.0,13.0,3.0,11.0,3.0,12.0,3.0,10.0,3.0,9.0,positive
4.0,1.0,4.0,11.0,4.0,10.0,4.0,12.0,4.0,13.0,positive
1.0,7.0,1.0,3.0,1.0,6.0,1.0,5.0,1.0,4.0,positive
1.0,8.0,1.0,7.0,1.0,9.0,1.0,5.0,1.0,6.0,positive
4.0,10.0,4.0,12.0,4.0,9.0,4.0,11.0,4.0,13.0,positive
1.0,10.0,1.0,11.0,1.0,13.0,1.0,12.0,1.0,1.0,positive
2.0,11.0,2.0,13.0,2.0,10.0,2.0,12.0,2.0,1.0,positive
3.0,12.0,3.0,11.0,3.0,13.0,3.0,10.0,3.0,1.0,positive
4.0,10.0,4.0,11.0,4.0,1.0,4.0,13.0,4.0,12.0,positive
4.0,1.0,4.0,13.0,4.0,12.0,4.0,11.0,4.0,10.0,positive
1.0,2.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,6.0,positive
1.0,9.0,1.0,12.0,1.0,10.0,1.0,11.0,1.0,13.0,positive
2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,5.0,positive
3.0,5.0,3.0,6.0,3.0,9.0,3.0,7.0,3.0,8.0,positive
4.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,positive
2.4722222222222223,11.083333333333332,2.5833333333333335,11.444444444444446,2.7222222222222223,6.388888888888888,2.4166666666666665,12.250000000000002,2.222222222222222,6.388888888888889,negative
2.5283018867924527,8.037735849056604,2.4150943396226414,4.1320754716981165,2.339622641509434,2.641509433962268,2.7547169811320753,3.9811320754717006,2.490566037735849,8.037735849056604,negative
2.3333333333333335,3.6249999999999996,2.708333333333333,3.625,2.5,11.041666666666668,2.4166666666666665,11.041666666666668,3.1249999999999996,11.041666666666664,negative
2.675,10.524999999999999,2.3499999999999996,3.925000000000002,2.725,10.525000000000004,2.5,3.9250000000000016,2.25,3.9249999999999963,negative
2.4047619047619047,3.095238095238093,2.2857142857142856,10.404761904761907,2.4285714285714284,3.095238095238099,2.5238095238095237,10.404761904761905,2.380952380952381,8.547619047619047,negative
2.5547445255474455,4.569343065693435,2.45985401459854,4.350364963503644,2.6496350364963503,5.700729927007303,2.3722627737226274,4.854014598540142,2.2408759124087587,4.613138686131381,negative
2.6122448979591835,11.081632653061222,2.571428571428571,11.285714285714288,2.510204081632653,7.346938775510203,2.73469387755102,7.346938775510204,2.3877551020408165,11.020408163265301,negative
2.4324324324324325,7.22972972972973,2.4527027027027026,7.506756756756755,2.5675675675675675,6.871621621621621,2.54054054054054,7.22972972972973,2.3648648648648645,7.364864864864865,negative
2.5853658536585367,10.390243902439023,2.4634146341463414,4.121951219512196,2.658536585365854,11.439024390243905,2.5853658536585367,4.121951219512196,2.4146341463414633,11.439024390243897,negative
2.6122448979591835,5.061224489795918,2.510204081632653,6.20408163265306,2.387755102040816,1.877551020408168,2.326530612244898,6.795918367346939,2.591836734693877,1.9795918367346887,negative
2.564102564102564,11.854700854700862,2.5128205128205128,11.581196581196572,2.435897435897436,11.589743589743595,2.4786324786324787,11.692307692307683,2.6581196581196576,10.974358974358967,negative
2.625,10.4375,2.46875,10.4375,2.15625,3.562500000000002,2.4375,4.78125,2.9062499999999996,3.5624999999999973,negative
2.533333333333333,3.433333333333332,2.6333333333333333,10.76666666666667,2.6666666666666665,10.76666666666667,2.3333333333333335,10.766666666666667,2.3333333333333335,3.43333333333333,negative
2.264705882352941,11.352941176470587,2.88235294117647,4.176470588235295,2.3529411764705883,11.35294117647059,2.5588235294117645,11.35294117647059,2.4705882352941178,4.176470588235292,negative
2.361111111111111,11.527777777777775,2.5,4.472222222222223,2.1666666666666665,4.472222222222223,2.611111111111111,10.694444444444446,2.694444444444444,11.527777777777775,negative
2.43125,2.393749999999997,2.5,2.84375,2.65625,2.5812499999999883,2.3624999999999994,2.7062499999999856,2.45,2.906249999999994,negative
2.4745762711864407,8.983050847457626,2.542372881355932,10.813559322033901,2.4745762711864407,10.728813559322038,2.6101694915254234,10.661016949152545,2.457627118644068,12.186440677966097,negative
2.2916666666666665,2.583333333333332,2.625,2.583333333333335,2.6666666666666665,10.541666666666668,2.5,2.583333333333335,2.2083333333333335,10.541666666666666,negative
2.4615384615384617,2.8076923076923066,2.4615384615384617,11.03846153846154,2.6538461538461537,11.03846153846154,2.230769230769231,2.8076923076923093,2.4615384615384617,11.038461538461537,negative
2.6,6.0,2.3249999999999997,10.950000000000003,2.675,2.775000000000003,2.1999999999999997,2.775000000000002,2.45,10.949999999999996,negative
2.3823529411764706,3.999999999999999,2.676470588235294,3.8235294117647074,2.7058823529411766,10.500000000000002,2.4705882352941178,10.5,2.5588235294117645,3.823529411764703,negative
2.4166666666666665,3.3055555555555545,2.361111111111111,3.3055555555555576,2.6666666666666665,3.3055555555555585,2.611111111111111,10.972222222222225,2.4444444444444446,10.972222222222218,negative
2.526315789473684,11.631578947368418,2.552631578947368,3.552631578947371,2.8157894736842106,3.5526315789473717,2.5789473684210527,11.631578947368423,2.4210526315789473,3.552631578947365,negative
2.4916666666666667,9.10833333333333,2.533333333333333,9.350000000000001,2.5083333333333333,9.966666666666672,2.6583333333333328,9.508333333333335,2.4916666666666667,8.858333333333329,negative
2.3636363636363638,6.236363636363637,2.5454545454545454,10.545454545454549,2.5090909090909093,10.545454545454549,2.309090909090909,3.109090909090912,2.6363636363636362,3.109090909090904,negative
