@relation yeast-0-5-6-7-9_vs_4
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {positive,negative}

@data
0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,positive
0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,positive
0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,positive
0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,positive
0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,positive
0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,positive
0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,positive
0.57,0.59,0.44,0.16,0.5,0.0,0.52,0.22,positive
0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,positive
0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,positive
0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,positive
0.91,0.69,0.57,0.45,0.5,0.0,0.56,0.22,positive
0.69,0.48,0.38,0.15,0.5,0.0,0.55,0.22,positive
0.68,0.5,0.43,0.27,0.5,0.0,0.61,0.22,positive
0.81,0.76,0.32,0.37,0.5,0.0,0.51,0.22,positive
0.89,0.82,0.6,0.49,0.5,0.0,0.55,0.22,positive
0.77,0.6,0.42,0.33,0.5,0.0,0.57,0.22,positive
0.76,0.74,0.56,0.34,0.5,0.0,0.51,0.3,positive
0.58,0.76,0.4,0.37,0.5,0.0,0.54,0.3,positive
0.94,0.6,0.33,0.49,0.5,0.0,0.54,0.22,positive
0.36,0.34,0.46,0.19,0.5,0.0,0.52,0.22,positive
0.66,0.66,0.32,0.54,0.5,0.0,0.51,0.22,positive
0.74,0.56,0.35,0.36,0.5,0.0,0.51,0.25,positive
0.89,0.52,0.41,0.26,0.5,0.0,0.52,0.31,positive
0.78,0.63,0.53,0.13,0.5,0.0,0.54,0.22,positive
0.83,0.57,0.42,0.57,0.5,0.0,0.5,0.32,positive
0.43,0.38,0.38,0.12,0.5,0.0,0.5,0.22,positive
0.76,0.67,0.37,0.22,0.5,0.0,0.54,0.22,positive
0.95,0.71,0.27,0.39,0.5,0.0,0.31,0.22,positive
0.97,0.71,0.29,0.42,0.5,0.0,0.35,0.22,positive
0.81,0.55,0.35,0.34,0.5,0.0,0.51,0.22,positive
0.55,0.52,0.44,0.2,0.5,0.0,0.56,0.22,positive
0.46,0.47,0.44,0.18,1.0,0.0,0.46,0.22,positive
0.56,0.49,0.32,0.22,0.5,0.0,0.5,0.22,positive
0.39,0.71,0.38,0.14,0.5,0.0,0.5,0.22,positive
0.37,0.42,0.46,0.15,0.5,0.0,0.51,0.31,positive
0.7,0.57,0.34,0.19,0.5,0.0,0.53,0.27,positive
0.8,0.69,0.53,0.33,0.5,0.0,0.51,0.22,positive
0.79,0.62,0.35,0.35,0.5,0.0,0.6,0.28,positive
