@relation yeast4
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class  {positive, negative}

@data
0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,positive
0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,positive
0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,positive
0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,positive
0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,positive
0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,positive
0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,positive
0.57,0.59,0.44,0.16,0.5,0.0,0.52,0.22,positive
0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,positive
0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,positive
0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,positive
0.81,0.9,0.39,0.41,0.5,0.0,0.53,0.22,positive
0.91,0.69,0.57,0.45,0.5,0.0,0.56,0.22,positive
0.69,0.48,0.38,0.15,0.5,0.0,0.55,0.22,positive
0.89,0.82,0.6,0.49,0.5,0.0,0.55,0.22,positive
0.77,0.6,0.42,0.33,0.5,0.0,0.57,0.22,positive
0.76,0.74,0.56,0.34,0.5,0.0,0.51,0.3,positive
0.58,0.76,0.4,0.37,0.5,0.0,0.54,0.3,positive
0.94,0.6,0.33,0.49,0.5,0.0,0.54,0.22,positive
0.83,0.53,0.52,0.2,0.5,0.0,0.48,0.25,positive
0.36,0.34,0.46,0.19,0.5,0.0,0.52,0.22,positive
0.72,0.56,0.4,0.26,0.5,0.0,0.51,0.26,positive
0.66,0.66,0.32,0.54,0.5,0.0,0.51,0.22,positive
0.74,0.56,0.35,0.36,0.5,0.0,0.51,0.25,positive
0.89,0.52,0.41,0.26,0.5,0.0,0.52,0.31,positive
0.78,0.63,0.53,0.13,0.5,0.0,0.54,0.22,positive
0.83,0.57,0.42,0.57,0.5,0.0,0.5,0.32,positive
0.76,0.67,0.37,0.22,0.5,0.0,0.54,0.22,positive
0.95,0.71,0.27,0.39,0.5,0.0,0.31,0.22,positive
0.55,0.52,0.44,0.2,0.5,0.0,0.56,0.22,positive
0.46,0.47,0.44,0.18,1.0,0.0,0.46,0.22,positive
0.56,0.49,0.32,0.22,0.5,0.0,0.5,0.22,positive
0.39,0.71,0.38,0.14,0.5,0.0,0.5,0.22,positive
0.37,0.42,0.46,0.15,0.5,0.0,0.51,0.31,positive
0.7,0.57,0.34,0.19,0.5,0.0,0.53,0.27,positive
0.79,0.62,0.35,0.35,0.5,0.0,0.6,0.28,positive
0.71,0.51,0.49,0.23,0.5,0.0,0.3,0.32,positive
0.69,0.57,0.39,0.19,0.5,0.0,0.48,0.39,positive
0.63,0.71,0.44,0.53,0.5,0.0,0.52,0.22,positive
0.81,0.62,0.43,0.17,0.5,0.0,0.53,0.22,positive
0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,positive
0.68,0.5,0.43,0.27,0.5,0.0,0.61,0.22,positive
0.81,0.76,0.32,0.37,0.5,0.0,0.51,0.22,positive
0.78,0.48,0.47,0.3,0.5,0.0,0.53,0.47,positive
0.43,0.38,0.38,0.12,0.5,0.0,0.5,0.22,positive
0.97,0.71,0.29,0.42,0.5,0.0,0.35,0.22,positive
0.81,0.55,0.35,0.34,0.5,0.0,0.51,0.22,positive
0.8,0.69,0.53,0.33,0.5,0.0,0.51,0.22,positive
0.88,0.75,0.41,0.36,0.5,0.0,0.43,0.22,positive
0.86,0.78,0.34,0.15,0.5,0.0,0.53,0.22,positive
0.67,0.57,0.36,0.19,0.5,0.0,0.56,0.22,positive
0.35923076923076924,0.5176923076923077,0.5167692307692308,0.1678461538461538,0.5,-5.204170427930421e-18,0.5073846153846154,0.23384615384615387,negative
0.6280392156862745,0.5970588235294118,0.5178431372549019,0.20509803921568626,0.5,-5.204170427930421e-18,0.5082352941176471,0.23529411764705885,negative
0.266875,0.38,0.5090625,0.166875,0.5,-3.469446951953614e-18,0.500625,0.32625000000000004,negative
0.5114814814814814,0.46370370370370373,0.49333333333333335,0.28888888888888886,0.5,-2.6020852139652106e-18,0.4988888888888889,0.42666666666666664,negative
0.49666666666666665,0.4266666666666667,0.5130769230769231,0.44102564102564107,0.5,-3.469446951953614e-18,0.5066666666666667,0.2569230769230769,negative
0.8474999999999999,0.8133333333333334,0.32666666666666666,0.32666666666666666,0.5,8.673617379884035e-19,0.5283333333333333,0.2966666666666667,negative
0.41833333333333333,0.46,0.5066666666666667,0.21666666666666667,0.5,0.83,0.5183333333333333,0.22,negative
0.44720930232558137,0.4588372093023256,0.5172093023255814,0.18232558139534885,0.5,-4.336808689942018e-18,0.512093023255814,0.37093023255813956,negative
0.3404761904761905,0.31999999999999995,0.589047619047619,0.17476190476190478,0.5,-4.336808689942018e-18,0.4866666666666667,0.23952380952380953,negative
0.504375,0.58625,0.4734375,0.5240625,0.5,-3.469446951953614e-18,0.5040625,0.24125000000000002,negative
0.32500000000000007,0.4122727272727273,0.32136363636363635,0.17704545454545456,0.5,-4.336808689942018e-18,0.5086363636363637,0.25727272727272726,negative
0.759655172413793,0.7706896551724138,0.4793103448275862,0.26275862068965516,0.5,-2.6020852139652106e-18,0.5137931034482759,0.22827586206896555,negative
0.4858490566037736,0.6018867924528302,0.5328301886792453,0.18641509433962267,0.5,-5.204170427930421e-18,0.4911320754716981,0.23245283018867927,negative
0.5675757575757576,0.556969696969697,0.53,0.18606060606060607,0.5,-2.6020852139652106e-18,0.5078787878787879,0.4209090909090909,negative
0.514,0.435,0.486,0.5270000000000001,0.5,0.0,0.517,0.6419999999999999,negative
0.3709523809523809,0.45999999999999996,0.5366666666666666,0.20333333333333334,0.5,0.0,0.5104761904761905,0.5342857142857143,negative
0.5170731707317073,0.46195121951219514,0.5726829268292682,0.3080487804878049,0.5,-4.336808689942018e-18,0.4951219512195122,0.21243902439024392,negative
0.5855555555555556,0.7011111111111111,0.3572222222222222,0.33555555555555555,0.5,8.673617379884035e-19,0.5316666666666667,0.24944444444444447,negative
0.6146341463414634,0.53,0.5160975609756098,0.4519512195121951,0.5,-4.336808689942018e-18,0.511219512195122,0.24682926829268295,negative
