@relation yeast6_clustered

@attribute Instance_number numeric
@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm numeric
@attribute Mit numeric
@attribute Erl numeric
@attribute Pox numeric
@attribute Vac numeric
@attribute Nuc numeric
@attribute Class {positive,negative}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33}

@data
0,0.58,0.61,0.47,0.13,0.5,0,0.48,0.22,negative,cluster8
1,0.43,0.67,0.48,0.27,0.5,0,0.53,0.22,negative,cluster6
2,0.64,0.62,0.49,0.15,0.5,0,0.53,0.22,negative,cluster8
3,0.58,0.44,0.57,0.13,0.5,0,0.54,0.22,negative,cluster4
4,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22,negative,cluster30
5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,negative,cluster1
6,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22,negative,cluster23
7,0.48,0.45,0.59,0.2,0.5,0,0.58,0.34,negative,cluster19
8,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,negative,cluster20
9,0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,negative,cluster19
10,0.43,0.39,0.54,0.21,0.5,0,0.53,0.27,negative,cluster33
11,0.42,0.37,0.59,0.2,0.5,0,0.52,0.29,negative,cluster33
12,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,negative,cluster12
13,0.6,0.4,0.52,0.46,0.5,0,0.53,0.22,negative,cluster30
14,0.66,0.55,0.45,0.19,0.5,0,0.46,0.22,negative,cluster26
15,0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,negative,cluster25
16,0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,negative,cluster17
17,0.58,0.47,0.54,0.11,0.5,0,0.51,0.26,negative,cluster32
18,0.5,0.34,0.55,0.21,0.5,0,0.49,0.22,negative,cluster4
19,0.61,0.6,0.55,0.21,0.5,0,0.5,0.25,negative,cluster8
20,0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,negative,cluster25
21,0.43,0.44,0.48,0.22,0.5,0,0.51,0.22,negative,cluster25
22,0.73,0.63,0.42,0.3,0.5,0,0.49,0.22,negative,cluster29
23,0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,negative,cluster11
24,0.46,0.53,0.52,0.15,0.5,0,0.58,0.22,negative,cluster25
25,0.51,0.51,0.52,0.51,0.5,0,0.54,0.22,negative,cluster30
26,0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,negative,cluster32
27,0.57,0.47,0.6,0.18,0.5,0,0.51,0.22,negative,cluster4
28,0.63,0.67,0.57,0.24,0.5,0,0.49,0.22,negative,cluster8
29,0.8,0.88,0.36,0.39,0.5,0,0.56,0.33,negative,cluster3
30,0.53,0.54,0.43,0.1,0.5,0,0.57,0.32,negative,cluster32
31,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22,negative,cluster23
32,0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,negative,cluster0
33,0.33,0.55,0.51,0.43,0.5,0,0.51,0.22,negative,cluster12
34,0.78,0.74,0.42,0.26,0.5,0,0.43,0.22,negative,cluster3
35,0.72,0.61,0.45,0.3,0.5,0,0.54,0.25,negative,cluster29
36,0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,negative,cluster19
37,0.59,0.53,0.43,0.44,0.5,0,0.5,0.22,negative,cluster14
38,0.57,0.53,0.53,0.34,0.5,0,0.53,0.22,negative,cluster20
39,0.86,0.68,0.39,0.24,0.5,0,0.54,0.22,negative,cluster29
40,0.86,0.74,0.51,0.4,0.5,0,0.55,0.22,negative,cluster3
41,0.79,0.57,0.41,0.28,0.5,0,0.59,0.22,negative,cluster29
42,0.41,0.54,0.39,0.2,0.5,0,0.51,0.22,negative,cluster24
43,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26,negative,cluster33
44,0.53,0.31,0.58,0.39,0.5,0,0.47,0.37,negative,cluster7
45,0.74,0.75,0.58,0.47,0.5,0,0.4,0.35,negative,cluster14
46,0.74,0.57,0.51,0.28,0.5,0,0.58,0.22,negative,cluster29
47,0.42,0.24,0.34,0.16,0.5,0,0.5,0.22,negative,cluster16
48,0.48,0.39,0.51,0.21,0.5,0,0.52,0.28,negative,cluster25
49,0.41,0.53,0.45,0.14,0.5,0,0.52,0.66,negative,cluster31
50,0.45,0.46,0.55,0.43,0.5,0,0.55,0.38,negative,cluster18
51,0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,negative,cluster4
52,0.64,0.59,0.56,0.23,0.5,0,0.46,0.22,negative,cluster8
53,0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,negative,cluster26
54,0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,negative,cluster8
55,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,negative,cluster27
56,0.38,0.49,0.53,0.19,0.5,0,0.5,0.22,negative,cluster11
57,0.45,0.58,0.48,0.67,0.5,0,0.52,0.22,negative,cluster23
58,0.43,0.35,0.52,0.52,0.5,0,0.54,0.22,negative,cluster30
59,0.37,0.32,0.47,0.18,0.5,0,0.45,0.25,negative,cluster33
60,0.48,0.43,0.51,0.32,0.5,0,0.52,0.43,negative,cluster18
61,0.41,0.46,0.59,0.19,0.5,0,0.58,0.27,negative,cluster19
62,0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,negative,cluster32
63,0.6,0.47,0.45,0.22,0.5,0,0.51,0.29,negative,cluster27
64,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,negative,cluster11
65,0.48,0.54,0.55,0.12,0.5,0,0.51,0.22,negative,cluster32
66,0.47,0.39,0.59,0.15,0.5,0,0.57,0.22,negative,cluster19
67,0.48,0.42,0.52,0.24,0.5,0,0.56,0.22,negative,cluster25
68,0.58,0.51,0.49,0.27,0.5,0,0.57,0.29,negative,cluster27
69,0.6,0.5,0.44,0.61,0.5,0,0.47,0.22,negative,cluster14
70,0.45,0.55,0.54,0.66,0.5,0,0.47,0.22,negative,cluster23
71,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22,negative,cluster20
72,0.49,0.42,0.56,0.55,0.5,0,0.42,0.25,negative,cluster30
73,0.63,0.53,0.54,0.4,0.5,0,0.5,0.22,negative,cluster14
74,0.5,0.54,0.53,0.54,0.5,0,0.51,0.27,negative,cluster30
75,0.63,0.57,0.59,0.4,0.5,0,0.38,0.22,negative,cluster14
76,0.43,0.57,0.51,0.49,0.5,0,0.48,0.22,negative,cluster12
77,0.48,0.45,0.55,0.5,0.5,0,0.53,0.22,negative,cluster30
78,0.5,0.58,0.46,0.46,0.5,0,0.46,0.22,negative,cluster30
79,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22,negative,cluster30
80,0.54,0.52,0.63,0.37,0.5,0,0.46,0.22,negative,cluster20
81,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,negative,cluster1
82,0.28,0.58,0.21,0.13,0.5,0,0.51,0.22,negative,cluster24
83,0.39,0.44,0.35,0.16,0.5,0,0.55,0.22,negative,cluster24
84,0.5,0.52,0.59,0.3,0.5,0,0.51,0.35,negative,cluster20
85,0.42,0.47,0.52,0.41,0.5,0,0.53,0.32,negative,cluster12
86,0.36,0.46,0.62,0.46,0.5,0,0.51,0.33,negative,cluster12
87,0.46,0.38,0.47,0.22,0.5,0,0.52,0.27,negative,cluster25
88,0.4,0.45,0.56,0.2,0.5,0,0.45,0.22,negative,cluster11
89,0.33,0.43,0.64,0.16,0.5,0,0.52,0.52,negative,cluster17
90,0.49,0.61,0.49,0.25,0.5,0,0.5,0.28,negative,cluster8
91,0.38,0.5,0.37,0.26,0.5,0,0.43,0.22,negative,cluster24
92,0.61,0.72,0.39,0.33,0.5,0,0.58,0.22,negative,cluster29
93,0.78,0.75,0.4,0.28,0.5,0,0.53,0.22,negative,cluster3
94,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,negative,cluster26
95,0.36,0.58,0.35,0.24,0.5,0,0.44,0.22,negative,cluster24
96,0.36,0.43,0.39,0.12,0.5,0,0.49,0.22,negative,cluster24
97,0.47,0.52,0.5,0.4,0.5,0,0.41,0.22,negative,cluster20
98,0.48,0.23,0.57,0.27,0.5,0,0.48,0.47,negative,cluster17
99,0.47,0.39,0.55,0.24,0.5,0,0.47,0.22,negative,cluster4
100,0.44,0.59,0.36,0.16,0.5,0,0.52,0.22,negative,cluster28
101,0.42,0.35,0.54,0.18,0.5,0,0.56,0.22,negative,cluster33
102,0.3,0.56,0.55,0.18,0.5,0,0.5,0.22,negative,cluster11
103,0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,negative,cluster8
104,0.27,0.6,0.48,0.23,0.5,0,0.55,0.22,negative,cluster11
105,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,negative,cluster1
106,0.44,0.52,0.41,0.23,0.5,0,0.51,0.22,negative,cluster24
107,0.3,0.32,0.57,0.19,0.5,0,0.48,0.55,negative,cluster17
108,0.4,0.44,0.49,0.47,0.5,0,0.49,0.27,negative,cluster12
109,0.45,0.51,0.5,0.16,0.5,0,0.52,1,negative,cluster22
110,0.45,0.45,0.5,0.6,0.5,0,0.49,0.22,negative,cluster23
111,0.59,0.67,0.56,0.41,0.5,0,0.47,0.22,negative,cluster14
112,0.47,0.47,0.57,0.48,0.5,0,0.48,0.22,negative,cluster30
113,0.35,0.52,0.48,0.22,0.5,0,0.26,0.22,negative,cluster2
114,0.47,0.41,0.66,0.26,0.5,0,0.53,0.22,negative,cluster19
115,0.64,0.62,0.29,0.28,0.5,0,0.51,0.22,negative,cluster28
116,0.55,0.53,0.55,0.46,0.5,0,0.52,0.22,negative,cluster30
117,0.67,0.62,0.54,0.43,0.5,0,0.53,0.22,negative,cluster14
118,0.59,0.6,0.49,0.43,0.5,0,0.53,0.31,negative,cluster14
119,0.54,0.55,0.34,0.31,0.5,0,0.54,0.22,negative,cluster28
120,0.58,0.62,0.54,0.17,0.5,0,0.48,0.22,negative,cluster8
121,0.4,0.38,0.53,0.16,0.5,0,0.52,0.27,negative,cluster33
122,0.46,0.71,0.48,0.53,0.5,0,0.53,0.22,negative,cluster23
123,0.53,0.51,0.55,0.05,0.5,0,0.45,0.25,negative,cluster32
124,0.41,0.4,0.59,0.47,0.5,0,0.48,0.43,negative,cluster18
125,0.5,0.64,0.57,0.15,0.5,0,0.47,0.22,negative,cluster8
126,0.4,0.62,0.52,0.31,0.5,0,0.49,0.31,negative,cluster20
127,0.6,0.5,0.57,0.25,0.5,0,0.41,0.26,negative,cluster26
128,0.62,0.51,0.52,0.42,0.5,0,0.54,0.27,negative,cluster14
129,0.35,0.58,0.54,0.16,0.5,0,0.51,0.22,negative,cluster11
130,0.34,0.54,0.5,0.21,0.5,0,0.54,0.31,negative,cluster11
131,0.39,0.58,0.5,0.26,0.5,0,0.54,0.59,negative,cluster31
132,0.48,0.54,0.5,0.17,0.5,0,0.53,0.22,negative,cluster25
133,0.29,0.32,0.58,0.15,0.5,0,0.5,0.3,negative,cluster21
134,0.47,0.32,0.64,0.3,0.5,0,0.63,0.22,negative,cluster19
135,0.39,0.47,0.56,0.16,0.5,0,0.47,0.22,negative,cluster11
136,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22,negative,cluster30
137,0.64,0.6,0.57,0.19,0.5,0,0.43,0.22,negative,cluster8
138,0.37,0.46,0.4,0.27,0.5,0,0.45,0.22,negative,cluster24
139,0.43,0.57,0.53,0.16,0.5,0,0.54,0.22,negative,cluster11
140,0.28,0.37,0.61,0.09,0.5,0,0.52,0.55,negative,cluster17
141,0.59,0.48,0.5,0.14,0.5,0,0.45,0.25,negative,cluster32
142,0.39,0.55,0.48,0.31,0.5,0,0.54,0.29,negative,cluster12
143,0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,negative,cluster22
144,0.51,0.34,0.5,0.19,0.5,0,0.5,0.22,negative,cluster4
145,0.58,0.5,0.5,0.12,0.5,0,0.48,0.25,negative,cluster32
146,0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,negative,cluster17
147,0.41,0.39,0.44,0.34,0.5,0,0.48,0.4,negative,cluster17
148,0.45,0.43,0.51,0.24,0.5,0,0.54,0.33,negative,cluster25
149,0.36,0.68,0.46,0.16,0.5,0,0.53,0.28,negative,cluster6
150,0.42,0.31,0.5,0.15,0.5,0,0.53,0.22,negative,cluster33
151,0.42,0.43,0.56,0.1,0.5,0,0.49,0.22,negative,cluster33
152,0.67,0.71,0.52,0.65,0.5,0,0.53,0.36,negative,cluster14
153,0.49,0.47,0.53,0.16,0.5,0,0.48,0.27,negative,cluster25
154,0.71,0.59,0.48,0.43,0.5,0,0.59,0.22,negative,cluster14
155,0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,negative,cluster10
156,0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,negative,cluster10
157,0.54,0.49,0.49,0.2,0.5,0,0.52,0.22,negative,cluster32
158,0.42,0.51,0.5,0.12,0.5,0,0.52,0.46,negative,cluster17
159,0.57,0.51,0.53,0.18,0.5,0,0.56,0.25,negative,cluster32
160,0.35,0.45,0.43,0.11,0.5,0,0.56,0.22,negative,cluster24
161,0.42,0.42,0.42,0.2,0.5,0,0.49,0.22,negative,cluster16
162,0.26,0.5,0.33,0.28,0.5,0,0.51,0.22,negative,cluster24
163,0.39,0.42,0.38,0.4,0.5,0,0.49,0.47,negative,cluster18
164,0.26,0.44,0.3,0.11,0.5,0,0.51,0.47,negative,cluster5
165,0.31,0.44,0.53,0.23,0.5,0,0.51,0.32,negative,cluster21
166,0.48,0.61,0.44,0.2,0.5,0,0.47,0.22,negative,cluster28
167,0.66,0.45,0.5,0.23,0.5,0,0.49,0.22,negative,cluster26
168,0.21,0.41,0.55,0.11,0.5,0,0.5,0.27,negative,cluster21
169,0.38,0.68,0.44,0.45,0.5,0,0.53,0.22,negative,cluster12
170,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,negative,cluster1
171,0.31,0.31,0.56,0.33,0.5,0,0.52,0.33,negative,cluster21
172,0.49,0.31,0.49,0.35,0.5,0,0.51,0.29,negative,cluster27
173,0.38,0.37,0.56,0.21,0.5,0,0.49,0.22,negative,cluster33
174,0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,negative,cluster23
175,0.24,0.34,0.69,0.18,0.5,0,0.52,0.22,negative,cluster21
176,0.49,0.43,0.51,0.13,0.5,0,0.47,0.22,negative,cluster25
177,0.54,0.38,0.52,0.18,0.5,0,0.48,0.22,negative,cluster4
178,0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,negative,cluster30
179,0.48,0.64,0.61,0.23,0.5,0,0.6,0.22,negative,cluster20
180,0.31,0.55,0.52,0.17,0.5,0,0.52,0.22,negative,cluster11
181,0.32,0.57,0.5,0.15,0.5,0,0.53,0.22,negative,cluster11
182,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,negative,cluster21
183,0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,negative,cluster27
184,0.37,0.42,0.51,0.11,0.5,0,0.57,0.22,negative,cluster25
185,0.75,0.7,0.38,0.27,0.5,0,0.49,0.22,negative,cluster29
186,0.61,0.72,0.31,0.33,0.5,0,0.56,0.22,negative,cluster28
187,0.44,0.42,0.6,0.21,0.5,0,0.57,0.22,negative,cluster19
188,0.52,0.51,0.51,0.54,0.5,0,0.55,0.27,negative,cluster30
189,0.63,0.56,0.45,0.58,0.5,0,0.51,0.22,negative,cluster14
190,0.52,0.56,0.54,0.53,0.5,0,0.45,0.22,negative,cluster30
191,0.58,0.58,0.58,0.49,0.5,0,0.49,0.26,negative,cluster14
192,0.72,0.62,0.34,0.29,0.5,0,0.56,0.28,negative,cluster29
193,0.72,0.61,0.37,0.3,0.5,0,0.57,0.22,negative,cluster29
194,0.46,0.43,0.38,0.33,0.5,0,0.48,0.28,negative,cluster16
195,0.57,0.57,0.44,0.37,0.5,0,0.52,0.25,negative,cluster14
196,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22,negative,cluster33
197,0.49,0.46,0.45,0.45,0.5,0,0.52,0.22,negative,cluster30
198,0.42,0.58,0.41,0.65,0.5,0,0.46,0.26,negative,cluster23
199,0.59,0.61,0.34,0.22,0.5,0,0.51,0.22,negative,cluster28
200,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22,negative,cluster6
201,0.5,0.52,0.6,0.51,0.5,0,0.48,0.22,negative,cluster30
202,0.49,0.6,0.43,0.56,0.5,0,0.36,0.22,negative,cluster23
203,0.5,0.41,0.44,0.5,0.5,0,0.42,0.22,negative,cluster30
204,0.5,0.4,0.56,0.7,0.5,0,0.5,0.22,negative,cluster23
205,0.37,0.58,0.44,0.51,0.5,0,0.44,0.22,negative,cluster12
206,0.55,0.45,0.45,0.54,0.5,0,0.5,0.22,negative,cluster30
207,0.67,0.68,0.46,0.29,0.5,0,0.46,0.22,negative,cluster8
208,0.53,0.51,0.46,0.28,0.5,0,0.48,0.22,negative,cluster27
209,0.35,0.66,0.49,0.21,0.5,0,0.54,0.25,negative,cluster6
210,0.52,0.4,0.6,0.12,0.5,0,0.55,0.22,negative,cluster19
211,0.47,0.46,0.59,0.49,0.5,0,0.56,0.22,negative,cluster30
